,FEM_Ind_NCSKEW,FEM_Ind_DUVOL,FEM_Firm_NCSKEW,FEM_Firm_DUVOL
const,-1.399***(-4.63),-0.517***(-2.63),-9.555***(-6.64),-4.981***(-12.26)
ControlCrashRisk,0.022(1.64),0.027(1.23),-0.328***(-3.89),-0.326***(-4.01)
ANALYST,0.023(1.11),0.033**(2.46),0.179***(40.36),0.082***(10.34)
Dturn,-0.063***(-2.67),-0.035(-1.62),-0.124**(-2.41),-0.077***(-3.14)
RET,12.862***(3.34),7.848**(2.27),-8.848(-1.55),-3.872*(-1.83)
SIGMA,0.747(0.57),-0.064(-0.09),4.947***(3.37),2.298***(2.68)
PB,0.033*(1.91),0.018*(1.82),0.219***(15.98),0.098***(9.33)
ROA_TTM,-0.232*(-1.9),-0.092(-1.59),0.882***(4.27),0.556***(8.09)
LEV,-0.216***(-4.7),-0.097***(-2.83),-0.417***(-16.47),-0.178**(-1.96)
SIZE,0.035***(3.9),-0.005(-0.82),0.352***(6.15),0.168***(13.42)
ACCM,-0.206(-0.74),0.032(0.17),0.379***(3.87),0.4***(3.59)
INS,-0.079(-1.4),-0.046*(-1.71),0.259**(2.52),0.041(0.87)
EX_INDAT,0.007***(16.88),0.004***(7.12),0.001**(2.1),0.0(0.18)
AT,0.003(0.45),0.002(0.65),0.039(1.07),0.025(1.27)
Industry effect,Controled,Controled,Not Controled,Not Controled
Firm Effect,Not Controled,Not Controled,Controled,Controled
Year,Controled,Controled,Controled,Controled
R2,0.01,0.02,0.15,0.14
f_statistic,6.57,8.56,51.06,44.78
N_obs,6527,6527,6527,6527
